width,n_hidden,N,D,C,batch_size,lr,steps,schedule,seed,init_loss,val_loss,iso_C
8,1,273,1024,1153024.0,256,0.0447545333117186,4,cosine,0,1.097216019630432,0.6489405727386475,0.0
8,1,273,2048,2306048.0,256,0.0447545333117186,8,cosine,0,1.097216019630432,0.3164285218715668,0.0
8,1,273,4096,4612096.0,256,0.0447545333117186,16,cosine,0,1.097216019630432,0.2367445772886276,0.0
8,1,273,8192,9224192.0,256,0.0447545333117186,32,cosine,0,1.097216019630432,0.2201954966783523,0.0
8,1,273,16384,18448384.0,256,0.0447545333117186,64,cosine,0,1.097216019630432,0.1975773966312408,0.0
8,1,273,32768,36896768.0,256,0.0447545333117186,128,cosine,0,1.097216019630432,0.1643170511722564,0.0
8,1,273,65536,73793536.0,256,0.0447545333117186,256,cosine,0,1.097216019630432,0.136239150762558,0.0
8,1,273,131072,147587072.0,256,0.0291810910356502,512,cosine,0,1.097216019630432,0.1287072098255157,0.0
8,1,273,262144,295174144.0,256,0.0190268116103433,1024,cosine,0,1.097216019630432,0.1236884689331054,0.0
8,1,273,524288,590348288.0,256,0.0124059638350471,2048,cosine,0,1.097216019630432,0.1187945476174354,0.0
8,1,273,1048576,1180696576.0,256,0.0080890031303421,4096,cosine,0,1.097216019630432,0.1164697280526161,0.0
8,1,273,2097152,2361393152.0,256,0.0052742352398157,8192,cosine,0,1.097216019630432,0.1147607883810997,0.0
8,1,273,4194304,4722786304.0,256,0.0034389351712041,16384,cosine,0,1.097216019630432,0.1142673140764236,0.0
8,1,273,8388608,9445572608.0,256,0.0022422729692576,32768,cosine,0,1.097216019630432,0.1136451086401939,0.0
8,1,273,16777216,18891145216.0,256,0.0014620188571054,65536,cosine,0,1.097216019630432,0.112825753390789,0.0
12,1,409,1024,1726464.0,256,0.0384573098960098,4,cosine,0,1.027218828201294,0.546853551864624,0.0
12,1,409,2048,3452928.0,256,0.0384573098960098,8,cosine,0,1.027218828201294,0.303053537607193,0.0
12,1,409,4096,6905856.0,256,0.0384573098960098,16,cosine,0,1.027218828201294,0.2345947569608688,0.0
12,1,409,8192,13811712.0,256,0.0384573098960098,32,cosine,0,1.027218828201294,0.2141128277778625,0.0
12,1,409,16384,27623424.0,256,0.0384573098960098,64,cosine,0,1.027218828201294,0.1900134032964706,0.0
12,1,409,32768,55246848.0,256,0.0384573098960098,128,cosine,0,1.027218828201294,0.1363838410377502,0.0
12,1,409,65536,110493696.0,256,0.0384573098960098,256,cosine,0,1.027218828201294,0.1035785323381424,0.0
12,1,409,131072,220987392.0,256,0.0250751416229789,512,cosine,0,1.027218828201294,0.087763594686985,0.0
12,1,409,262144,441974784.0,256,0.0163496284350791,1024,cosine,0,1.027218828201294,0.0852498432993889,0.0
12,1,409,524288,883949568.0,256,0.0106603724909845,2048,cosine,0,1.027218828201294,0.0785984566807747,0.0
12,1,409,1048576,1767899136.0,256,0.0069508332924992,4096,cosine,0,1.027218828201294,0.0765198490023613,0.0
12,1,409,2097152,3535798272.0,256,0.0045321196328716,8192,cosine,0,1.027218828201294,0.0747085309028625,0.0
16,1,545,1024,2299904.0,256,0.034534392001995,4,cosine,0,1.010895857810974,0.5782706236839295,0.0
16,1,545,2048,4599808.0,256,0.034534392001995,8,cosine,0,1.010895857810974,0.3412007486820221,0.0
16,1,545,4096,9199616.0,256,0.034534392001995,16,cosine,0,1.010895857810974,0.2457547581195831,0.0
16,1,545,8192,18399232.0,256,0.034534392001995,32,cosine,0,1.010895857810974,0.2043767368793487,0.0
16,1,545,16384,36798464.0,256,0.034534392001995,64,cosine,0,1.010895857810974,0.18043536901474,0.0
16,1,545,32768,73596928.0,256,0.034534392001995,128,cosine,0,1.010895857810974,0.1293410009145736,0.0
16,1,545,65536,147193856.0,256,0.034534392001995,256,cosine,0,1.010895857810974,0.0928046724200248,0.0
16,1,545,131072,294387712.0,256,0.0225172996409544,512,cosine,0,1.010895857810974,0.0825997686386108,0.0
16,1,545,262144,588775424.0,256,0.014681850576412,1024,cosine,0,1.010895857810974,0.0764499551057815,0.0
16,1,545,524288,1177550848.0,256,0.0095729390195631,2048,cosine,0,1.010895857810974,0.0819324201345443,0.0
16,1,545,1048576,2355101696.0,256,0.0062417990835233,4096,cosine,0,1.010895857810974,0.0795501267910003,0.0
16,1,545,2097152,4710203392.0,256,0.0040698113421024,8192,cosine,0,1.010895857810974,0.0776314756274223,0.0
16,1,545,4194304,9420406784.0,256,0.0026536202365161,16384,cosine,0,1.010895857810974,0.0759725740551948,0.0
16,1,545,8388608,18840813568.0,256,0.0017302277102629,32768,cosine,0,1.010895857810974,0.0751963800191879,0.0
16,1,545,16777216,37681627136.0,256,0.0011281523588665,65536,cosine,0,1.010895857810974,0.0743925666809082,0.0
24,1,817,1024,3446784.0,256,0.0296752019743048,4,cosine,0,0.9632355666160584,0.5112246370315552,0.0
24,1,817,2048,6893568.0,256,0.0296752019743048,8,cosine,0,0.9632355666160584,0.3269571757316589,0.0
24,1,817,4096,13787136.0,256,0.0296752019743048,16,cosine,0,0.9632355666160584,0.2395105159282684,0.0
24,1,817,8192,27574272.0,256,0.0296752019743048,32,cosine,0,0.9632355666160584,0.1914518272876739,0.0
24,1,817,16384,55148544.0,256,0.0296752019743048,64,cosine,0,0.9632355666160584,0.1449804252386093,0.0
24,1,817,32768,110297088.0,256,0.0296752019743048,128,cosine,0,0.9632355666160584,0.0934462642669677,0.0
24,1,817,65536,220594176.0,256,0.0296752019743048,256,cosine,0,0.9632355666160584,0.0592782443761825,0.0
24,1,817,131072,441188352.0,256,0.0193489844767692,512,cosine,0,0.9632355666160584,0.0491214564442634,0.0
24,1,817,262144,882376704.0,256,0.0126160287167187,1024,cosine,0,0.9632355666160584,0.0437482914328575,0.0
24,1,817,524288,1764753408.0,256,0.00822597076204,2048,cosine,0,0.9632355666160584,0.040090894550085,0.0
24,1,817,1048576,3529506816.0,256,0.0053635416102268,4096,cosine,0,0.9632355666160584,0.0385750776529312,0.0
24,1,817,2097152,7059013632.0,256,0.0034971651902031,8192,cosine,0,0.9632355666160584,0.0367849192023277,0.0
32,1,1089,1024,4593664.0,256,0.0266481212671964,4,cosine,0,1.1162346696853638,0.5676806664466858,0.0
32,1,1089,2048,9187328.0,256,0.0266481212671964,8,cosine,0,1.1162346696853638,0.3109709417819977,0.0
32,1,1089,4096,18374656.0,256,0.0266481212671964,16,cosine,0,1.1162346696853638,0.2275089567899704,0.0
32,1,1089,8192,36749312.0,256,0.0266481212671964,32,cosine,0,1.1162346696853638,0.1977137720584869,0.0
32,1,1089,16384,73498624.0,256,0.0266481212671964,64,cosine,0,1.1162346696853638,0.1533980613946914,0.0
32,1,1089,32768,146997248.0,256,0.0266481212671964,128,cosine,0,1.1162346696853638,0.0780797472596168,0.0
32,1,1089,65536,293994496.0,256,0.0266481212671964,256,cosine,0,1.1162346696853638,0.0498177430033683,0.0
32,1,1089,131072,587988992.0,256,0.0173752510658733,512,cosine,0,1.1162346696853638,0.0419119319319725,0.0
32,1,1089,262144,1175977984.0,256,0.0113291044638771,1024,cosine,0,1.1162346696853638,0.0371100345999002,0.0
32,1,1089,524288,2351955968.0,256,0.00738686350297,2048,cosine,0,1.1162346696853638,0.0348381327837705,0.0
32,1,1089,1048576,4703911936.0,256,0.0048164223911513,4096,cosine,0,1.1162346696853638,0.0331146477162838,0.0
32,1,1089,2097152,9407823872.0,256,0.0031404295802483,8192,cosine,0,1.1162346696853638,0.0313222857564687,0.0
32,1,1089,4194304,18815647744.0,256,0.0020476397515752,16384,cosine,0,1.1162346696853638,0.0302503893524408,0.0
32,1,1089,8388608,37631295488.0,256,0.0013351130617932,32768,cosine,0,1.1162346696853638,0.0294060113281011,0.0
32,1,1089,16777216,75262590976.0,256,0.0008705275849423,65536,cosine,0,1.1162346696853638,0.0288357606530189,0.0
48,1,1633,1024,6887424.0,256,0.0228985754489072,4,cosine,0,0.9886033034324646,0.4753710126876831,0.0
48,1,1633,2048,13774848.0,256,0.0228985754489072,8,cosine,0,0.9886033034324646,0.2853501236438751,0.0
48,1,1633,4096,27549696.0,256,0.0228985754489072,16,cosine,0,0.9886033034324646,0.2244367545843124,0.0
48,1,1633,8192,55099392.0,256,0.0228985754489072,32,cosine,0,0.9886033034324646,0.1663603579998016,0.0
48,1,1633,16384,110198784.0,256,0.0228985754489072,64,cosine,0,0.9886033034324646,0.1043235978484153,0.0
48,1,1633,32768,220397568.0,256,0.0228985754489072,128,cosine,0,0.9886033034324646,0.0510115309059619,0.0
48,1,1633,65536,440795136.0,256,0.0228985754489072,256,cosine,0,0.9886033034324646,0.0414937680959701,0.0
48,1,1633,131072,881590272.0,256,0.0149304520752605,512,cosine,0,0.9886033034324646,0.0368947090953588,0.0
48,1,1633,262144,1763180544.0,256,0.0097350335032431,1024,cosine,0,0.9886033034324646,0.034582328274846,0.0
48,1,1633,524288,3526361088.0,256,0.0063474887988354,2048,cosine,0,0.9886033034324646,0.0325692447274923,0.0
48,1,1633,1048576,7052722176.0,256,0.0041387237175834,4096,cosine,0,0.9886033034324646,0.0308447873592376,0.0
48,1,1633,2097152,14105444352.0,256,0.0026985528534733,8192,cosine,0,0.9886033034324646,0.0298312010616064,0.0
64,1,2177,1024,9181184.0,256,0.0205627586271152,4,cosine,0,0.9984795546531676,0.4382792210578918,0.0
64,1,2177,2048,18362368.0,256,0.0205627586271152,8,cosine,0,0.9984795546531676,0.270805606842041,0.0
64,1,2177,4096,36724736.0,256,0.0205627586271152,16,cosine,0,0.9984795546531676,0.2070928311347961,0.0
64,1,2177,8192,73449472.0,256,0.0205627586271152,32,cosine,0,0.9984795546531676,0.1544095224142074,0.0
64,1,2177,16384,146898944.0,256,0.0205627586271152,64,cosine,0,0.9984795546531676,0.0880598297715187,0.0
64,1,2177,32768,293797888.0,256,0.0205627586271152,128,cosine,0,0.9984795546531676,0.0442018567025661,0.0
64,1,2177,65536,587595776.0,256,0.0205627586271152,256,cosine,0,0.9984795546531676,0.0370403232425451,0.0
64,1,2177,131072,1175191552.0,256,0.0134074402533169,512,cosine,0,0.9984795546531676,0.0344210734963417,0.0
64,1,2177,262144,2350383104.0,256,0.0087419911601366,1024,cosine,0,0.9984795546531676,0.0323472956568002,0.0
64,1,2177,524288,4700766208.0,256,0.0057,2048,cosine,0,0.9984795546531676,0.0311082976311445,0.0
64,1,2177,1048576,9401532416.0,256,0.0037165445954868,4096,cosine,0,0.9984795546531676,0.0296875631809234,0.0
64,1,2177,2097152,18803064832.0,256,0.0024232813561829,8192,cosine,0,0.9984795546531676,0.0283360315859317,0.0
64,1,2177,4194304,37606129664.0,256,0.0015800409171343,16384,cosine,0,0.9984795546531676,0.0269360302388668,0.0
64,1,2177,8388608,75212259328.0,256,0.0010302267598638,32768,cosine,0,0.9984795546531676,0.0254777327552437,0.0
64,1,2177,16777216,150424518656.0,256,0.0006717339818417,65536,cosine,0,0.9984795546531676,0.0242954131588339,0.0
96,1,3265,1024,13768704.0,256,0.0176694587636948,4,cosine,0,0.9490381574630736,0.3753500080108642,0.0
96,1,3265,2048,27537408.0,256,0.0176694587636948,8,cosine,0,0.9490381574630736,0.2705383992195129,0.0
96,1,3265,4096,55074816.0,256,0.0176694587636948,16,cosine,0,0.9490381574630736,0.2033676451444626,0.0
96,1,3265,8192,110149632.0,256,0.0176694587636948,32,cosine,0,0.9490381574630736,0.134819628894329,0.0
96,1,3265,16384,220299264.0,256,0.0176694587636948,64,cosine,0,0.9490381574630736,0.0723868629336357,0.0
96,1,3265,32768,440598528.0,256,0.0176694587636948,128,cosine,0,0.9490381574630736,0.0388660489022731,0.0
96,1,3265,65536,881197056.0,256,0.0176694587636948,256,cosine,0,0.9490381574630736,0.0345680026710033,0.0
96,1,3265,131072,1762394112.0,256,0.0115209353462085,512,cosine,0,0.9490381574630736,0.0320317430794239,0.0
96,1,3265,262144,3524788224.0,256,0.0075119421045448,1024,cosine,0,0.9490381574630736,0.030607303828001,0.0
96,1,3265,524288,7049576448.0,256,0.0048979768123256,2048,cosine,0,0.9490381574630736,0.0298043882846832,0.0
96,1,3265,1048576,14099152896.0,256,0.0031936051316963,4096,cosine,0,0.9490381574630736,0.0281899759918451,0.0
96,1,3265,2097152,28198305792.0,256,0.002082311560057,8192,cosine,0,0.9490381574630736,0.0267991444468498,0.0
128,1,4353,1024,18356224.0,256,0.0158670488668745,4,cosine,0,0.9955331182479858,0.3778255379199982,0.0
128,1,4353,2048,36712448.0,256,0.0158670488668745,8,cosine,0,0.9955331182479858,0.2817779278755188,0.0
128,1,4353,4096,73424896.0,256,0.0158670488668745,16,cosine,0,0.9955331182479858,0.2148898786306381,0.0
128,1,4353,8192,146849792.0,256,0.0158670488668745,32,cosine,0,0.9955331182479858,0.1319576895236969,0.0
128,1,4353,16384,293699584.0,256,0.0158670488668745,64,cosine,0,0.9955331182479858,0.0597389361262321,0.0
128,1,4353,32768,587399168.0,256,0.0158670488668745,128,cosine,0,0.9955331182479858,0.0357569123059511,0.0
128,1,4353,65536,1174798336.0,256,0.0158670488668745,256,cosine,0,0.9955331182479858,0.0334829857945442,0.0
128,1,4353,131072,2349596672.0,256,0.0103457183706156,512,cosine,0,0.9955331182479858,0.0314018728584051,0.0
128,1,4353,262144,4699193344.0,256,0.0067456708239896,1024,cosine,0,0.9955331182479858,0.0304761680215597,0.0
128,1,4353,524288,9398386688.0,256,0.0043983484989179,2048,cosine,0,0.9955331182479858,0.0294731336086988,0.0
128,1,4353,1048576,18796773376.0,256,0.0028678347969686,4096,cosine,0,0.9955331182479858,0.0281002095341682,0.0
128,1,4353,2097152,37593546752.0,256,0.0018699010377935,8192,cosine,0,0.9955331182479858,0.0262755772471427,0.0
128,1,4353,4194304,75187093504.0,256,0.0012192229115977,16384,cosine,0,0.9955331182479858,0.0240485828742384,0.0
128,1,4353,8388608,150374187008.0,256,0.0007949642671565,32768,cosine,0,0.9955331182479858,0.0216736199706792,0.0
128,1,4353,16777216,300748374016.0,256,0.0005183368685448,65536,cosine,0,0.9955331182479858,0.0200719202309846,0.0
512,1,17409,1024,73406464.0,256,0.0094476919111631,4,cosine,0,0.993979880809784,0.2852336859703064,0.0
512,1,17409,2048,146812928.0,256,0.0094476919111631,8,cosine,0,0.993979880809784,0.2848407125473022,0.0
512,1,17409,4096,293625856.0,256,0.0094476919111631,16,cosine,0,0.993979880809784,0.1781820601224899,0.0
512,1,17409,8192,587251712.0,256,0.0094476919111631,32,cosine,0,0.993979880809784,0.0937837010622024,0.0
512,1,17409,16384,1174503424.0,256,0.0094476919111631,64,cosine,0,0.993979880809784,0.0476374535262584,0.0
512,1,17409,32768,2349006848.0,256,0.0094476919111631,128,cosine,0,0.993979880809784,0.0311325958371162,0.0
512,1,17409,65536,4698013696.0,256,0.0094476919111631,256,cosine,0,0.993979880809784,0.0301495215296745,0.0
512,1,17409,131072,9396027392.0,256,0.0061601347916243,512,cosine,0,0.993979880809784,0.0291533211618661,0.0
512,1,17409,262144,18792054784.0,256,0.0040165641521547,1024,cosine,0,0.993979880809784,0.0283597113937139,0.0
512,1,17409,524288,37584109568.0,256,0.0026189017179152,2048,cosine,0,0.993979880809784,0.0277621468901634,0.0
512,1,17409,1048576,75168219136.0,256,0.0017075903554086,4096,cosine,0,0.993979880809784,0.0263307525217533,0.0
512,1,17409,2097152,150336438272.0,256,0.0011133922292455,8192,cosine,0,0.993979880809784,0.0245027283579111,0.0
512,1,17409,4194304,300672876544.0,256,0.0007259599775894,16384,cosine,0,0.993979880809784,0.0212811187282204,0.0
512,1,17409,8388608,601345753088.0,256,0.0004733443212718,32768,cosine,0,0.993979880809784,0.0182652484998106,0.0
