width,n_hidden,N,D,C,batch_size,lr,steps,schedule,seed,init_loss,val_loss,iso_C
8,2,345,1024,1595392.0,256,0.0420064479329289,4,cosine,0,1.0835981464385986,0.803749213218689,0.0
8,2,345,2048,3190784.0,256,0.0420064479329289,8,cosine,0,1.0835981464385986,0.5235113596916199,0.0
8,2,345,4096,6381568.0,256,0.0420064479329289,16,cosine,0,1.0835981464385986,0.3358150219917297,0.0
8,2,345,8192,12763136.0,256,0.0420064479329289,32,cosine,0,1.0835981464385986,0.2169611847400665,0.0
8,2,345,16384,25526272.0,256,0.0420064479329289,64,cosine,0,1.0835981464385986,0.1908702647686004,0.0
8,2,345,32768,51052544.0,256,0.0420064479329289,128,cosine,0,1.0835981464385986,0.1529082900285721,0.0
8,2,345,37093,57790894.0,256,0.0420064479329289,145,cosine,0,1.0835981464385986,0.1480719244480133,57791427.83874044
8,2,345,65536,102105088.0,256,0.0420064479329289,256,cosine,0,1.0835981464385986,0.1332872381806373,0.0
8,2,345,131072,204210176.0,256,0.0273892696562681,512,cosine,0,1.0835981464385986,0.1246373003721237,0.0
8,2,345,183563,285991154.0,256,0.0222507522784154,718,cosine,0,1.0835981464385986,0.1225910729169845,285990863.9826176
8,2,345,262144,408420352.0,256,0.0178584986167257,1024,cosine,0,1.0835981464385986,0.1188989749550819,0.0
8,2,345,524288,816840704.0,256,0.0116441941258775,2048,cosine,0,1.0835981464385986,0.1145035049319267,0.0
8,2,345,908392,1415274736.0,256,0.0082958354598737,3549,cosine,0,1.0835981464385986,0.1137598997354507,1415275194.6145184
8,2,345,1048576,1633681408.0,256,0.007592309955672,4096,cosine,0,1.0835981464385986,0.1128167232871055,0.0
8,2,345,2097152,3267362816.0,256,0.0049503786900025,8192,cosine,0,1.0835981464385986,0.1113794839382171,0.0
8,2,345,4194304,6534725632.0,256,0.003227772485253,16384,cosine,0,1.0835981464385986,0.1099143868684768,0.0
8,2,345,8388608,13069451264.0,256,0.0021045895413207,32768,cosine,0,1.0835981464385986,0.1097735634446144,0.0
8,2,345,16777216,26138902528.0,256,0.0013722457693884,65536,cosine,0,1.0835981464385986,0.1085665321350097,0.0
12,2,565,1024,2684928.0,256,0.0360958961304653,4,cosine,0,1.0554143285751345,0.8880481219291687,0.0
12,2,565,2048,5369856.0,256,0.0360958961304653,8,cosine,0,1.0554143285751345,0.5539656972885132,0.0
12,2,565,4096,10739712.0,256,0.0360958961304653,16,cosine,0,1.0554143285751345,0.2570061480998993,0.0
12,2,565,8192,21479424.0,256,0.0360958961304653,32,cosine,0,1.0554143285751345,0.2271061187982559,0.0
12,2,565,16384,42958848.0,256,0.0360958961304653,64,cosine,0,1.0554143285751345,0.1791571176052093,0.0
12,2,565,22041,57791502.0,256,0.0360958961304653,87,cosine,0,1.0554143285751345,0.156246075630188,57791427.83874044
12,2,565,32768,85917696.0,256,0.0360958961304653,128,cosine,0,1.0554143285751345,0.1254269278049469,0.0
12,2,565,65536,171835392.0,256,0.0360958961304653,256,cosine,0,1.0554143285751345,0.1016417390108108,0.0
12,2,565,109074,285992028.0,256,0.026363081011411,427,cosine,0,1.0554143285751345,0.0906975737214088,285990863.9826176
12,2,565,131072,343670784.0,256,0.0235354399443749,512,cosine,0,1.0554143285751345,0.0887030681967735,0.0
12,2,565,262144,687341568.0,256,0.0153457038820479,1024,cosine,0,1.0554143285751345,0.0854313468933105,0.0
12,2,565,524288,1374683136.0,256,0.0100057882152223,2048,cosine,0,1.0554143285751345,0.0803362971544265,0.0
12,2,565,539769,1415274318.0,256,0.0098290992997293,2109,cosine,0,1.0554143285751345,0.0807451552152633,1415275194.6145184
12,2,565,1048576,2749366272.0,256,0.006524027739451,4096,cosine,0,1.0554143285751345,0.0782146847248077,0.0
12,2,565,2097152,5498732544.0,256,0.0042538315852392,8192,cosine,0,1.0554143285751345,0.075810926258564,0.0
16,2,817,1024,3971072.0,256,0.0324138591597672,4,cosine,0,0.9844372963905336,0.7582030391693115,0.0
16,2,817,2048,7942144.0,256,0.0324138591597672,8,cosine,0,0.9844372963905336,0.3654748892784119,0.0
16,2,817,4096,15884288.0,256,0.0324138591597672,16,cosine,0,0.9844372963905336,0.2393550074100494,0.0
16,2,817,8192,31768576.0,256,0.0324138591597672,32,cosine,0,0.9844372963905336,0.1944047009944915,0.0
16,2,817,14902,57789956.0,256,0.0324138591597672,59,cosine,0,0.9844372963905336,0.1582286304235458,57791427.83874044
16,2,817,16384,63537152.0,256,0.0324138591597672,64,cosine,0,0.9844372963905336,0.1540173983573913,0.0
16,2,817,32768,127074304.0,256,0.0324138591597672,128,cosine,0,0.9844372963905336,0.1021664535999298,0.0
16,2,817,65536,254148608.0,256,0.0324138591597672,256,cosine,0,0.9844372963905336,0.0759052059054374,0.0
16,2,817,73747,285990866.0,256,0.0301418312711548,289,cosine,0,0.9844372963905336,0.0745406022667884,285990863.9826176
16,2,817,131072,508297216.0,256,0.0211346584349309,512,cosine,0,0.9844372963905336,0.0681369251012802,0.0
16,2,817,262144,1016594432.0,256,0.0137803334357551,1024,cosine,0,0.9844372963905336,0.0620510636270046,0.0
16,2,817,364950,1415276100.0,256,0.0112385693038485,1426,cosine,0,0.9844372963905336,0.059279510974884,1415275194.6145184
16,2,817,524288,2033188864.0,256,0.0089851269745023,2048,cosine,0,0.9844372963905336,0.0572955293953418,0.0
16,2,817,1048576,4066377728.0,256,0.0058585307187456,4096,cosine,0,0.9844372963905336,0.0561343415081501,0.0
