D,seed,step,train,excess
5000,0,1,0.9534032940864564,0.7921134233474731
5000,0,2,0.8755147457122803,0.7133752107620239
5000,0,3,0.8002570271492004,0.6380531787872314
5000,0,4,0.7269732356071472,0.5647382140159607
5000,0,5,0.6547743678092957,0.492416501045227
5000,0,6,0.5845219492912292,0.4217132925987243
5000,0,7,0.518476128578186,0.3554891347885132
5000,0,8,0.4595142602920532,0.2961952686309814
5000,0,9,0.4108645915985107,0.247411772608757
5000,0,10,0.3747403025627136,0.2108650356531143
5000,0,11,0.3529981076717376,0.1884906888008117
5000,0,12,0.3462053537368774,0.18084616959095
5000,0,13,0.3511191606521606,0.1852492392063141
5000,0,14,0.3624122738838196,0.1965592354536056
5000,0,15,0.3747437596321106,0.2093521058559417
5000,0,16,0.3806588649749756,0.2162024080753326
5000,0,17,0.3785412609577179,0.2150714695453643
5000,0,18,0.3680444061756134,0.2060879021883011
5000,0,19,0.3537972569465637,0.1935694068670272
5000,0,20,0.3369848132133484,0.1786876022815704
5000,0,21,0.3225966989994049,0.1658625155687332
5000,0,22,0.3121604323387146,0.1566734910011291
5000,0,24,0.3012970089912414,0.1484262943267822
5000,0,25,0.2985553443431854,0.1467145383358001
5000,0,26,0.2972720563411712,0.1462891399860382
5000,0,28,0.2964138686656952,0.1462543308734893
5000,0,30,0.2947512567043304,0.1445951759815216
5000,0,31,0.2926936149597168,0.142621174454689
5000,0,33,0.2835304141044616,0.133648544549942
5000,0,35,0.2696413993835449,0.1196157783269882
5000,0,37,0.2595257461071014,0.1095115691423416
5000,0,39,0.2556540369987488,0.1054165586829185
5000,0,41,0.2518454790115356,0.1019023358821868
5000,0,44,0.2452565729618072,0.0967752337455749
5000,0,46,0.2428403049707412,0.0951750800013542
5000,0,49,0.2321449518203735,0.0855949819087982
5000,0,52,0.2216794192790985,0.076805979013443
5000,0,55,0.2147731184959411,0.072087824344635
5000,0,58,0.2112869173288345,0.0704410523176193
5000,0,61,0.2059903740882873,0.0666735619306564
5000,0,64,0.2025104314088821,0.0642572790384292
5000,0,68,0.1948285698890686,0.0576456785202026
5000,0,72,0.1880009919404983,0.0520867779850959
5000,0,76,0.1840651184320449,0.0483319833874702
5000,0,80,0.1826447248458862,0.0467012524604797
5000,0,85,0.1805228590965271,0.0460570268332958
5000,0,90,0.1735797673463821,0.0422410741448402
5000,0,95,0.1710638552904129,0.0417910851538181
5000,0,100,0.1693143248558044,0.0412390455603599
5000,0,106,0.1697027683258056,0.0429648011922836
5000,0,112,0.1652577072381973,0.0376163870096206
5000,0,118,0.1665413379669189,0.0390279814600944
5000,0,125,0.1637649685144424,0.0415885895490646
5000,0,132,0.160949245095253,0.037386804819107
5000,0,139,0.1602975279092788,0.0354205891489982
5000,0,147,0.1591512858867645,0.0369987227022647
5000,0,156,0.1587901711463928,0.037887092679739
5000,0,165,0.158438354730606,0.0393557399511337
5000,0,174,0.155827984213829,0.0364463105797767
5000,0,184,0.1559911966323852,0.0382676757872104
5000,0,194,0.1532991230487823,0.0374589189887046
5000,0,205,0.1541571170091629,0.0386654436588287
5000,0,217,0.1538853347301483,0.0395270399749279
5000,0,229,0.150118350982666,0.0362187139689922
5000,0,242,0.1514956653118133,0.0406119599938392
5000,0,256,0.1507725268602371,0.0394478663802146
5000,0,270,0.1484773755073547,0.0388284660875797
5000,0,285,0.1510011255741119,0.0426507778465747
5000,0,301,0.1460060477256775,0.0397078841924667
5000,0,318,0.1459128856658935,0.0412776097655296
5000,0,336,0.1439664959907531,0.0396340563893318
5000,0,355,0.140373095870018,0.0401666015386581
5000,0,376,0.1364403963088989,0.0411865152418613
5000,0,397,0.1350511461496353,0.0409031808376312
5000,0,419,0.1389047056436538,0.0461009033024311
5000,0,443,0.1288094669580459,0.0398230999708175
5000,0,468,0.1247215941548347,0.0402641966938972
5000,0,494,0.1201862394809722,0.0409290418028831
5000,0,522,0.1206027716398239,0.0459173358976841
5000,0,552,0.1115793958306312,0.0441854782402515
5000,0,583,0.1057877913117408,0.0467223525047302
5000,0,616,0.1004301384091377,0.0484440624713897
5000,0,651,0.0945042073726654,0.0520551539957523
